text,label,sumber,kategori_penipuan
JobStreet: Lamaran Anda telah diterima perusahaan. Cek status di aplikasi.,0,JobStreet,bukan_penipuan
Glints: Lowongan baru: Digital Marketing - Tokopedia. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
GoPay: Top-up GoPay Rp1000000 BERHASIL. Saldo GoPay Anda: Rp200000.,0,GoPay,bukan_penipuan
Konfirmasi hadiah dengan transfer ke [NOMOR_REKENING].,1,SMS,undian palsu
Glints: Lowongan baru: Software Engineer - Shopee. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
Transfer uang ke [NOMOR_REKENING] untuk klaim hadiah Anda.,1,Facebook,undian palsu
LinkedIn: Perusahaan Tokopedia membuka lowongan Sales. Cek detail di LinkedIn.,0,LinkedIn,bukan_penipuan
"Halo, selamat! Anda menang undian berhadiah Rp250000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
"Promo pinjaman online, cair hari ini tanpa agunan. Hubungi [NOMOR_TELEPON].",1,SMS,penipuan pinjaman
GoFood: Pesanan telah dikirim. Cek aplikasi untuk melacak driver.,0,GoFood,bukan_penipuan
Rekening Anda terancam diblokir. Hubungi QWERTY di [NOMOR_TELEPON].,1,SMS,phishing
Akun Grab Anda terancam diblokir. Klik [LINK] untuk menghindari.,1,SMS,phishing
Mandiri: Pembayaran Tokopedia Rp500000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
Mandiri: Pembayaran Tokopedia Rp750000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
Grab: Kode promo GRAB418 berhasil digunakan.,0,Grab,bukan_penipuan
"Halo, selamat! Anda menang undian berhadiah Rp1500000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
BCA: Transfer Rp100000 ke [NOMOR_REKENING] berhasil. Saldo Anda: Rp200000.,0,Bank SMS,bukan_penipuan
Grab: Kode promo GRAB900 berhasil digunakan.,0,Grab,bukan_penipuan
GoPay: Top-up GoPay Rp250000 BERHASIL. Saldo GoPay Anda: Rp300000.,0,GoPay,bukan_penipuan
Gojek: Diskon 20% GoRide untuk perjalanan berikutnya.,0,Gojek,bukan_penipuan
XL: Paket Xtra Combo 2GB Anda telah aktif. Nikmati internetan!,0,XL,bukan_penipuan
JobStreet: Lamaran Anda telah diterima perusahaan. Cek status di aplikasi.,0,JobStreet,bukan_penipuan
Shopee: Kode OTP Anda adalah [KODE_OTP]. Jangan bagikan ke siapa pun.,0,Shopee,bukan_penipuan
BNI: Kode OTP transaksi Anda adalah [KODE_OTP].,0,BNI,bukan_penipuan
GoPay: Top-up GoPay Rp750000 BERHASIL. Saldo GoPay Anda: Rp4700000.,0,GoPay,bukan_penipuan
BRI: Top-up OVO Rp300000 BERHASIL. Saldo Anda: Rp4700000.,0,BRI,bukan_penipuan
Grab: Promo GrabCar! Diskon 30% untuk perjalanan hari ini.,0,Grab,bukan_penipuan
"Sayang, aku sedang di bandara butuh biaya tambahan. Tolong transfer ke [NOMOR_REKENING].",1,WhatsApp,love scam
GoFood: Pesanan telah dikirim. Cek aplikasi untuk melacak driver.,0,GoFood,bukan_penipuan
Tokopedia: Pesanan #670768 telah dikirim oleh penjual. Lacak di aplikasi Tokopedia.,0,Tokopedia,bukan_penipuan
Permata: Pembayaran tagihan PLN Rp100000 berhasil. Ref: [NOMOR_TRANSAKSI].,0,Permata,bukan_penipuan
"Ma, aku kecelakaan, butuh uang cepat. Kirim ke rekening [NOMOR_REKENING] atas nama [NAMA_PRIBADI].",1,SMS,mama minta pulsa
Bank DEF: Akun Anda diblokir. Segera klik [LINK] untuk verifikasi.,1,SMS,phishing
Mandiri: Pembayaran Tokopedia Rp300000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
XL: Paket Xtra Combo 10GB Anda telah aktif. Nikmati internetan!,0,XL,bukan_penipuan
"Keluarga sakit, butuh bantuan biaya, kirim ke [NOMOR_REKENING] a.n [NAMA_PRIBADI].",1,WhatsApp,love scam
Glints: Lowongan baru: Sales - ABC. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
GoPay: Top-up GoPay Rp1000000 BERHASIL. Saldo GoPay Anda: Rp3500000.,0,GoPay,bukan_penipuan
JobStreet: Lamaran Anda telah diterima perusahaan. Cek status di aplikasi.,0,JobStreet,bukan_penipuan
"Lowongan kerja mudah, gaji harian Rp500000. Hubungi WhatsApp [NOMOR_TELEPON] sekarang!",1,WhatsApp,kerja palsu
LinkedIn: Perusahaan QWERTY membuka lowongan UI/UX Designer. Cek detail di LinkedIn.,0,LinkedIn,bukan_penipuan
Kartu kredit Anda diblokir. Hubungi [NOMOR_TELEPON] sekarang juga!,1,SMS,phishing
Bank XYZ: Akun Anda diblokir. Segera klik [LINK] untuk verifikasi.,1,SMS,phishing
"Halo, selamat! Anda menang undian berhadiah Rp500000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
BNI: Kode OTP transaksi Anda adalah [KODE_OTP].,0,BNI,bukan_penipuan
"Promo pinjaman online, cair hari ini tanpa agunan. Hubungi [NOMOR_TELEPON].",1,SMS,penipuan pinjaman
Mohon bayar tagihan ke [NAMA_PRIBADI] di rekening [NOMOR_REKENING].,1,SMS,tagihan fiktif
"Halo, selamat! Anda menang undian berhadiah Rp1000000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
"Keluarga sakit, butuh bantuan biaya, kirim ke [NOMOR_REKENING] a.n [NAMA_PRIBADI].",1,WhatsApp,love scam
"Promo pinjaman online, cair hari ini tanpa agunan. Hubungi [NOMOR_TELEPON].",1,SMS,penipuan pinjaman
GoPay: Top-up GoPay Rp250000 BERHASIL. Saldo GoPay Anda: Rp1000000.,0,GoPay,bukan_penipuan
GoFood: Pesanan Anda sedang diantar oleh driver [NAMA_PRIBADI].,0,Gojek,bukan_penipuan
"Yth pelanggan, tagihan listrik Anda belum dibayar. Transfer ke [NOMOR_REKENING] sebelum layanan diputus.",1,SMS,tagihan fiktif
Glints: Lowongan baru: UI/UX Designer - ABC. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
Kami dari Tim Keamanan WhatsApp. Mohon berikan kode OTP ke nomor [NOMOR_TELEPON].,1,SMS,phishing
Undangan pernikahan terlampir di file APK. Klik link berikut: [LINK],1,WhatsApp,undangan APK
Grab: Promo GrabCar! Diskon 30% untuk perjalanan hari ini.,0,Grab,bukan_penipuan
Grab: Kode promo GRAB879 berhasil digunakan.,0,Grab,bukan_penipuan
Rekening Anda terancam diblokir. Hubungi BNI di [NOMOR_TELEPON].,1,SMS,phishing
GoFood: Pesanan Anda sedang diantar oleh driver [NAMA_PRIBADI].,0,Gojek,bukan_penipuan
Shopee: Kode OTP Anda adalah [KODE_OTP]. Jangan bagikan ke siapa pun.,0,Shopee,bukan_penipuan
Tokopedia: Pesanan #358316 telah dikirim oleh penjual. Lacak di aplikasi Tokopedia.,0,Tokopedia,bukan_penipuan
Undangan pernikahan terlampir di file APK. Klik link berikut: [LINK],1,WhatsApp,undangan APK
Gojek: Diskon 20% GoRide untuk perjalanan berikutnya.,0,Gojek,bukan_penipuan
Tokopedia: Promo diskon hingga 90%. Cek Tokopedia sekarang.,0,Tokopedia,bukan_penipuan
Konfirmasi hadiah dengan transfer ke [NOMOR_REKENING].,1,SMS,undian palsu
BPJS Kesehatan: Anda resmi menerima dana bantuan Rp200000. Verifikasi di [LINK].,1,SMS,phishing
Akun Grab Anda terancam diblokir. Klik [LINK] untuk menghindari.,1,SMS,phishing
"Halo, selamat! Anda menang undian berhadiah Rp1500000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
Mandiri: Pembayaran Tokopedia Rp250000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
LinkedIn: Perusahaan Tokopedia membuka lowongan Manager. Cek detail di LinkedIn.,0,LinkedIn,bukan_penipuan
Shopee: Kode OTP Anda adalah [KODE_OTP]. Jangan bagikan ke siapa pun.,0,Shopee,bukan_penipuan
Tokopedia: Promo diskon hingga 90%. Cek Tokopedia sekarang.,0,Tokopedia,bukan_penipuan
Transfer uang ke [NOMOR_REKENING] untuk klaim hadiah Anda.,1,Facebook,undian palsu
JobStreet: Lamaran Anda telah diterima perusahaan. Cek status di aplikasi.,0,JobStreet,bukan_penipuan
Kami dari Tim Keamanan WhatsApp. Mohon berikan kode OTP ke nomor [NOMOR_TELEPON].,1,SMS,phishing
Kami dari Tim Keamanan WhatsApp. Mohon berikan kode OTP ke nomor [NOMOR_TELEPON].,1,SMS,phishing
Undangan pernikahan terlampir di file APK. Klik link berikut: [LINK],1,WhatsApp,undangan APK
"Keluarga sakit, butuh bantuan biaya, kirim ke [NOMOR_REKENING] a.n [NAMA_PRIBADI].",1,WhatsApp,love scam
Glints: Lowongan baru: Sales - BNI. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
Permata: Pembayaran tagihan PLN Rp250000 berhasil. Ref: [NOMOR_TRANSAKSI].,0,Permata,bukan_penipuan
"Promo pinjaman online, cair hari ini tanpa agunan. Hubungi [NOMOR_TELEPON].",1,SMS,penipuan pinjaman
"Halo, selamat! Anda menang undian berhadiah Rp250000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
Permata: Pembayaran tagihan PLN Rp200000 berhasil. Ref: [NOMOR_TRANSAKSI].,0,Permata,bukan_penipuan
Tokopedia: Pesanan #625248 telah dikirim oleh penjual. Lacak di aplikasi Tokopedia.,0,Tokopedia,bukan_penipuan
Glints: Lowongan baru: UI/UX Designer - Shopee. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
Dapat pinjaman tunai instan! Cukup kirim data ke WhatsApp [NOMOR_TELEPON].,1,SMS,penipuan pinjaman
Rekening Anda terancam diblokir. Hubungi Mandiri di [NOMOR_TELEPON].,1,SMS,phishing
GoFood: Pesanan telah dikirim. Cek aplikasi untuk melacak driver.,0,GoFood,bukan_penipuan
"Ma, aku kecelakaan, butuh uang cepat. Kirim ke rekening [NOMOR_REKENING] atas nama [NAMA_PRIBADI].",1,SMS,mama minta pulsa
Grab: Promo GrabCar! Diskon 30% untuk perjalanan hari ini.,0,Grab,bukan_penipuan
"Lowongan kerja mudah, gaji harian Rp750000. Hubungi WhatsApp [NOMOR_TELEPON] sekarang!",1,WhatsApp,kerja palsu
Bank Tokopedia: Akun Anda diblokir. Segera klik [LINK] untuk verifikasi.,1,SMS,phishing
Konfirmasi hadiah dengan transfer ke [NOMOR_REKENING].,1,SMS,undian palsu
"Yth pelanggan, tagihan listrik Anda belum dibayar. Transfer ke [NOMOR_REKENING] sebelum layanan diputus.",1,SMS,tagihan fiktif
Undangan pernikahan terlampir di file APK. Klik link berikut: [LINK],1,WhatsApp,undangan APK
Undangan pernikahan terlampir di file APK. Klik link berikut: [LINK],1,WhatsApp,undangan APK
GoFood: Pesanan telah dikirim. Cek aplikasi untuk melacak driver.,0,GoFood,bukan_penipuan
BPJS Kesehatan: Anda resmi menerima dana bantuan Rp250000. Verifikasi di [LINK].,1,SMS,phishing
Shopee: Kode OTP Anda adalah [KODE_OTP]. Jangan bagikan ke siapa pun.,0,Shopee,bukan_penipuan
"Yth pelanggan, tagihan listrik Anda belum dibayar. Transfer ke [NOMOR_REKENING] sebelum layanan diputus.",1,SMS,tagihan fiktif
Permata: Pembayaran tagihan PLN Rp200000 berhasil. Ref: [NOMOR_TRANSAKSI].,0,Permata,bukan_penipuan
Kami dari Tim Keamanan WhatsApp. Mohon berikan kode OTP ke nomor [NOMOR_TELEPON].,1,SMS,phishing
Transfer uang ke [NOMOR_REKENING] untuk klaim hadiah Anda.,1,Facebook,undian palsu
Gojek: Diskon 20% GoRide untuk perjalanan berikutnya.,0,Gojek,bukan_penipuan
"Akun Anda diblokir sementara, klik [LINK] untuk aktivasi ulang.",1,SMS,phishing
Glints: Lowongan baru: Software Engineer - Tokopedia. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
Transfer uang ke [NOMOR_REKENING] untuk klaim hadiah Anda.,1,Facebook,undian palsu
GoFood: Pesanan Anda sedang diantar oleh driver [NAMA_PRIBADI].,0,Gojek,bukan_penipuan
Mandiri: Pembayaran Tokopedia Rp100000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
Rekening Anda terancam diblokir. Hubungi BNI di [NOMOR_TELEPON].,1,SMS,phishing
Akun Grab Anda terancam diblokir. Klik [LINK] untuk menghindari.,1,SMS,phishing
GoPay: Top-up GoPay Rp1000000 BERHASIL. Saldo GoPay Anda: Rp200000.,0,GoPay,bukan_penipuan
BNI: Kode OTP transaksi Anda adalah [KODE_OTP].,0,BNI,bukan_penipuan
"Ma, pulsa habis, isi ke [NOMOR_TELEPON].",1,SMS,mama minta pulsa
BPJS Kesehatan: Anda resmi menerima dana bantuan Rp1500000. Verifikasi di [LINK].,1,SMS,phishing
"Keluarga sakit, butuh bantuan biaya, kirim ke [NOMOR_REKENING] a.n [NAMA_PRIBADI].",1,WhatsApp,love scam
"Ma, pulsa habis, isi ke [NOMOR_TELEPON].",1,SMS,mama minta pulsa
Shopee: Kode OTP Anda adalah [KODE_OTP]. Jangan bagikan ke siapa pun.,0,Shopee,bukan_penipuan
Rekening Anda terancam diblokir. Hubungi DEF di [NOMOR_TELEPON].,1,SMS,phishing
Grab: Kode promo GRAB612 berhasil digunakan.,0,Grab,bukan_penipuan
Dapat pinjaman tunai instan! Cukup kirim data ke WhatsApp [NOMOR_TELEPON].,1,SMS,penipuan pinjaman
Kami dari Tim Keamanan WhatsApp. Mohon berikan kode OTP ke nomor [NOMOR_TELEPON].,1,SMS,phishing
JobStreet: Lamaran Anda telah diterima perusahaan. Cek status di aplikasi.,0,JobStreet,bukan_penipuan
"Ma, pulsa habis, isi ke [NOMOR_TELEPON].",1,SMS,mama minta pulsa
BRI: Pembayaran Shopee Rp250000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,BRI,bukan_penipuan
Grab: Kode promo GRAB497 berhasil digunakan.,0,Grab,bukan_penipuan
Bank BNI: Akun Anda diblokir. Segera klik [LINK] untuk verifikasi.,1,SMS,phishing
Shopee: Kode OTP Anda adalah [KODE_OTP]. Jangan bagikan ke siapa pun.,0,Shopee,bukan_penipuan
Kami dari Tim Keamanan WhatsApp. Mohon berikan kode OTP ke nomor [NOMOR_TELEPON].,1,SMS,phishing
"Ma, aku kecelakaan, butuh uang cepat. Kirim ke rekening [NOMOR_REKENING] atas nama [NAMA_PRIBADI].",1,SMS,mama minta pulsa
Indosat: Bonus kuota 5GB telah aktif. Selamat menikmati.,0,Indosat,bukan_penipuan
Bank QWERTY: Akun Anda diblokir. Segera klik [LINK] untuk verifikasi.,1,SMS,phishing
Tokopedia: Pesanan #550036 telah dikirim oleh penjual. Lacak di aplikasi Tokopedia.,0,Tokopedia,bukan_penipuan
"Sayang, aku sedang di bandara butuh biaya tambahan. Tolong transfer ke [NOMOR_REKENING].",1,WhatsApp,love scam
Transfer uang ke [NOMOR_REKENING] untuk klaim hadiah Anda.,1,Facebook,undian palsu
GoFood: Pesanan telah dikirim. Cek aplikasi untuk melacak driver.,0,GoFood,bukan_penipuan
BNI: Kode OTP transaksi Anda adalah [KODE_OTP].,0,BNI,bukan_penipuan
Bank XYZ: Akun Anda diblokir. Segera klik [LINK] untuk verifikasi.,1,SMS,phishing
Tokopedia: Promo diskon hingga 90%. Cek Tokopedia sekarang.,0,Tokopedia,bukan_penipuan
Mohon bayar tagihan ke [NAMA_PRIBADI] di rekening [NOMOR_REKENING].,1,SMS,tagihan fiktif
"Lowongan kerja mudah, gaji harian Rp1000000. Hubungi WhatsApp [NOMOR_TELEPON] sekarang!",1,WhatsApp,kerja palsu
Mandiri: Pembayaran Tokopedia Rp300000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
"Keluarga sakit, butuh bantuan biaya, kirim ke [NOMOR_REKENING] a.n [NAMA_PRIBADI].",1,WhatsApp,love scam
Indosat: Bonus kuota 15GB telah aktif. Selamat menikmati.,0,Indosat,bukan_penipuan
BRI: Top-up OVO Rp750000 BERHASIL. Saldo Anda: Rp500000.,0,BRI,bukan_penipuan
"Akun Anda diblokir sementara, klik [LINK] untuk aktivasi ulang.",1,SMS,phishing
"Halo, selamat! Anda menang undian berhadiah Rp1000000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
Indosat: Bonus kuota 2GB telah aktif. Selamat menikmati.,0,Indosat,bukan_penipuan
"Halo, selamat! Anda menang undian berhadiah Rp1500000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
Undangan pernikahan terlampir di file APK. Klik link berikut: [LINK],1,WhatsApp,undangan APK
Undangan pernikahan terlampir di file APK. Klik link berikut: [LINK],1,WhatsApp,undangan APK
Rekening Anda terancam diblokir. Hubungi ABC di [NOMOR_TELEPON].,1,SMS,phishing
Grab: Promo GrabCar! Diskon 30% untuk perjalanan hari ini.,0,Grab,bukan_penipuan
BCA: Transfer Rp1500000 ke [NOMOR_REKENING] berhasil. Saldo Anda: Rp300000.,0,Bank SMS,bukan_penipuan
Grab: Promo GrabCar! Diskon 30% untuk perjalanan hari ini.,0,Grab,bukan_penipuan
"Sayang, aku sedang di bandara butuh biaya tambahan. Tolong transfer ke [NOMOR_REKENING].",1,WhatsApp,love scam
Grab: Promo GrabCar! Diskon 30% untuk perjalanan hari ini.,0,Grab,bukan_penipuan
Gojek: Diskon 20% GoRide untuk perjalanan berikutnya.,0,Gojek,bukan_penipuan
Mandiri: Pembayaran Tokopedia Rp200000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
Permata: Pembayaran tagihan PLN Rp750000 berhasil. Ref: [NOMOR_TRANSAKSI].,0,Permata,bukan_penipuan
"Ma, pulsa habis, isi ke [NOMOR_TELEPON].",1,SMS,mama minta pulsa
BCA: Transfer Rp250000 ke [NOMOR_REKENING] berhasil. Saldo Anda: Rp4700000.,0,Bank SMS,bukan_penipuan
Akun Grab Anda terancam diblokir. Klik [LINK] untuk menghindari.,1,SMS,phishing
Dapat pinjaman tunai instan! Cukup kirim data ke WhatsApp [NOMOR_TELEPON].,1,SMS,penipuan pinjaman
Mandiri: Pembayaran Tokopedia Rp100000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
"Sayang, aku sedang di bandara butuh biaya tambahan. Tolong transfer ke [NOMOR_REKENING].",1,WhatsApp,love scam
Undangan pernikahan terlampir di file APK. Klik link berikut: [LINK],1,WhatsApp,undangan APK
Rekening Anda terancam diblokir. Hubungi ABC di [NOMOR_TELEPON].,1,SMS,phishing
Rekening Anda terancam diblokir. Hubungi Tokopedia di [NOMOR_TELEPON].,1,SMS,phishing
"Lowongan kerja mudah, gaji harian Rp300000. Hubungi WhatsApp [NOMOR_TELEPON] sekarang!",1,WhatsApp,kerja palsu
"Lowongan kerja mudah, gaji harian Rp100000. Hubungi WhatsApp [NOMOR_TELEPON] sekarang!",1,WhatsApp,kerja palsu
BRI: Pembayaran Shopee Rp750000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,BRI,bukan_penipuan
"Sayang, aku sedang di bandara butuh biaya tambahan. Tolong transfer ke [NOMOR_REKENING].",1,WhatsApp,love scam
Undangan pernikahan terlampir di file APK. Klik link berikut: [LINK],1,WhatsApp,undangan APK
XL: Paket Xtra Combo 1GB Anda telah aktif. Nikmati internetan!,0,XL,bukan_penipuan
"Yth pelanggan, tagihan listrik Anda belum dibayar. Transfer ke [NOMOR_REKENING] sebelum layanan diputus.",1,SMS,tagihan fiktif
"Halo, selamat! Anda menang undian berhadiah Rp1000000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
BRI: Pembayaran Shopee Rp750000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,BRI,bukan_penipuan
Akun Grab Anda terancam diblokir. Klik [LINK] untuk menghindari.,1,SMS,phishing
"Promo pinjaman online, cair hari ini tanpa agunan. Hubungi [NOMOR_TELEPON].",1,SMS,penipuan pinjaman
Tokopedia: Promo diskon hingga 90%. Cek Tokopedia sekarang.,0,Tokopedia,bukan_penipuan
"Lowongan kerja mudah, gaji harian Rp500000. Hubungi WhatsApp [NOMOR_TELEPON] sekarang!",1,WhatsApp,kerja palsu
Indosat: Bonus kuota 2GB telah aktif. Selamat menikmati.,0,Indosat,bukan_penipuan
"Ma, aku kecelakaan, butuh uang cepat. Kirim ke rekening [NOMOR_REKENING] atas nama [NAMA_PRIBADI].",1,SMS,mama minta pulsa
Akun Grab Anda terancam diblokir. Klik [LINK] untuk menghindari.,1,SMS,phishing
BRI: Top-up OVO Rp1000000 BERHASIL. Saldo Anda: Rp3500000.,0,BRI,bukan_penipuan
BRI: Pembayaran Shopee Rp750000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,BRI,bukan_penipuan
Tokopedia: Pesanan #238155 telah dikirim oleh penjual. Lacak di aplikasi Tokopedia.,0,Tokopedia,bukan_penipuan
GoPay: Top-up GoPay Rp200000 BERHASIL. Saldo GoPay Anda: Rp500000.,0,GoPay,bukan_penipuan
Tokopedia: Promo diskon hingga 90%. Cek Tokopedia sekarang.,0,Tokopedia,bukan_penipuan
GoFood: Pesanan Anda sedang diantar oleh driver [NAMA_PRIBADI].,0,Gojek,bukan_penipuan
Grab: Promo GrabCar! Diskon 30% untuk perjalanan hari ini.,0,Grab,bukan_penipuan
Grab: Kode promo GRAB138 berhasil digunakan.,0,Grab,bukan_penipuan
Transfer uang ke [NOMOR_REKENING] untuk klaim hadiah Anda.,1,Facebook,undian palsu
GoFood: Pesanan Anda sedang diantar oleh driver [NAMA_PRIBADI].,0,Gojek,bukan_penipuan
Akun Grab Anda terancam diblokir. Klik [LINK] untuk menghindari.,1,SMS,phishing
Shopee: Kode OTP Anda adalah [KODE_OTP]. Jangan bagikan ke siapa pun.,0,Shopee,bukan_penipuan
Gojek: Diskon 20% GoRide untuk perjalanan berikutnya.,0,Gojek,bukan_penipuan
"Akun Anda diblokir sementara, klik [LINK] untuk aktivasi ulang.",1,SMS,phishing
BCA: Transfer Rp1000000 ke [NOMOR_REKENING] berhasil. Saldo Anda: Rp1000000.,0,Bank SMS,bukan_penipuan
